,ingredientID,ingredient
0,3132,"beef tongue, whole"
1,16421,salt
2,4397,"onion, chopped"
3,18156,rye bread
4,18921,coarse grained prepared mustard
5,4397,"onion, thinly sliced"
6,16421,salt
7,16396,garlic powder
8,16429,fresh rosemary
9,5320,pork chops
10,4279,"carrots, chopped"
11,4397,"onion, chopped"
12,4432,"green bell pepper, chopped"
13,4366,"leeks, chopped"
14,4529,"zucchini, chopped"
15,4342,minced garlic
16,4572,"tomatoes, coarsely chopped"
17,23274,vegetable broth
18,20303,cinnamon stick
19,16377,ground allspice
20,6307,olive oil
21,16159,fresh basil leaves
22,1681,wheat bran
23,16287,buttermilk
24,6305,vegetable oil
25,1525,brown sugar
26,16317,egg
27,1507,molasses
28,1684,all-purpose flour
29,7785,baking powder
30,2359,baking soda
31,16421,salt
32,5218,golden raisins
33,16157,"butter, softened"
34,1507,molasses
35,16261,sour cream
36,1525,brown sugar
37,7842,distilled white vinegar
38,1684,all-purpose flour
39,2359,baking soda
40,16421,salt
41,16386,ground cinnamon
42,16397,ground ginger
43,1718,spaghetti
44,4380,"mushrooms, drained"
45,16157,butter
46,6493,"boneless chicken breast halves, cooked"
47,5467,condensed cream of chicken soup
48,16261,sour cream
49,16238,grated Parmesan cheese
50,4279,grated carrots
51,1684,all-purpose flour
52,1526,white sugar
53,2359,baking soda
54,2356,baking powder
55,16421,salt
56,16386,ground cinnamon
57,16317,eggs
58,6379,vegetable oil
59,16424,vanilla extract
60,5190,crushed pineapple with juice
61,3810,chopped pecans
62,1527,confectioners' sugar
63,16237,Neufchatel cheese
64,16157,"butter, softened"
65,16424,vanilla extract
66,3810,chopped pecans
67,4442,potatoes
68,16317,large eggs
69,5375,bacon
70,4341,escarole
71,16422,apple cider vinegar
72,4133,"beef top sirloin, thinly sliced"
73,4342,"garlic, minced"
74,5174,"pear - peeled, cored, and minced"
75,4405,"green onions, thinly sliced"
76,2882,soy sauce
77,1526,white sugar
78,6309,sesame oil
79,8336,rice wine
80,3752,sesame seeds
81,4343,minced fresh ginger
82,16406,freshly ground black pepper to taste
83,4267,"cabbage, coarsely chopped"
84,6756,"ramen noodles, crushed"
85,3758,sunflower seeds
86,6379,vegetable oil
87,1526,white sugar
88,7842,distilled white vinegar
89,1526,white sugar
90,16317,eggs
91,16157,"butter, melted"
92,16424,vanilla extract
93,1684,all-purpose flour
94,1416,unsweetened cocoa powder
95,7785,baking powder
96,16421,salt
97,18502,milk chocolate chips
98,16223,"cream cheese, softened"
99,2858,creamy peanut butter
100,1526,white sugar
101,16317,egg
102,16278,milk
103,4442,baking potatoes
104,16157,butter
105,1684,all-purpose flour
106,16276,whole milk
107,16421,salt
108,16406,ground black pepper
109,18907,"bacon bits, divided"
110,4405,"green onions, chopped"
111,16215,shredded Cheddar cheese
112,16261,sour cream
113,20584,15 bean soup mix
114,2496,water
115,5375,bacon
116,4431,"canned green chile peppers, chopped"
117,16385,chili powder
118,20244,crushed red pepper flakes
119,4397,"onion, chopped"
120,4342,"garlic, minced"
121,18526,"bittersweet chocolate, chopped"
122,16258,heavy cream
123,16424,vanilla extract
124,2666,"cooked shrimp, finely chopped"
125,6294,mayonnaise
126,4397,"onion, minced"
127,16215,shredded Cheddar cheese
128,5592,hot pepper sauce
129,16157,butter
