,ingredientID,ingredient
0,3132,"beef tongue, whole"
1,320611,salt
2,27958,"onion, chopped"
3,135120,rye bread
4,18921,coarse grained prepared mustard
5,4397,"onion, thinly sliced"
6,320611,salt
7,28714,garlic powder
8,16429,fresh rosemary
9,18415,pork chops
10,4279,"carrots, chopped"
11,27958,"onion, chopped"
12,2818644,"green bell pepper, chopped"
13,4366,"leeks, chopped"
14,4529,"zucchini, chopped"
15,29176,minced garlic
16,4572,"tomatoes, coarsely chopped"
17,34813,vegetable broth
18,21711,cinnamon stick
19,16377,ground allspice
20,29716,olive oil
21,16159,fresh basil leaves
22,1681,wheat bran
23,20751,buttermilk
24,28196,vegetable oil
25,325340,brown sugar
26,25834,egg
27,1507,molasses
28,326550,all-purpose flour
29,28854,baking powder
30,3253737,baking soda
31,320611,salt
32,5218,golden raisins
33,33277,"butter, softened"
34,1507,molasses
35,34999,sour cream
36,325340,brown sugar
37,18428,distilled white vinegar
38,326550,all-purpose flour
39,3253737,baking soda
40,320611,salt
41,29850,ground cinnamon
42,16397,ground ginger
43,1718,spaghetti
44,4380,"mushrooms, drained"
45,33277,butter
46,6493,"boneless chicken breast halves, cooked"
47,21089,condensed cream of chicken soup
48,34999,sour cream
49,16238,grated Parmesan cheese
50,4279,grated carrots
51,326550,all-purpose flour
52,35167,white sugar
53,3253737,baking soda
54,28854,baking powder
55,320611,salt
56,29850,ground cinnamon
57,25834,eggs
58,28196,vegetable oil
59,35174,vanilla extract
60,5190,crushed pineapple with juice
61,34717,chopped pecans
62,10819,confectioners' sugar
63,16326550,Neufchatel cheese
64,33277,"butter, softened"
65,35174,vanilla extract
66,3810,chopped pecans
67,4442,potatoes
68,25834,large eggs
69,34367,bacon
70,4341,escarole
71,16422,apple cider vinegar
72,424837,"beef top sirloin, thinly sliced"
73,29176,"garlic, minced"
74,5174,"pear - peeled, cored, and minced"
75,8954,"green onions, thinly sliced"
76,35050,soy sauce
77,35167,white sugar
78,21666,sesame oil
79,8336,rice wine
80,3733277,sesame seeds
81,25146,minced fresh ginger
82,16406,freshly ground black pepper to taste
83,4267,"cabbage, coarsely chopped"
84,6756,"ramen noodles, crushed"
85,3758,sunflower seeds
86,28196,vegetable oil
87,35167,white sugar
88,7842,distilled white vinegar
89,35167,white sugar
90,25834,eggs
91,33277,"butter, melted"
92,35174,vanilla extract
93,326550,all-purpose flour
94,18427,unsweetened cocoa powder
95,28854,baking powder
96,320611,salt
97,18502,milk chocolate chips
98,34751,"cream cheese, softened"
99,3796,creamy peanut butter
100,35167,white sugar
101,25834,egg
102,16278,milk
103,4442,baking potatoes
104,33277,butter
105,326550,all-purpose flour
106,35010,whole milk
107,320611,salt
108,16406,ground black pepper
109,18907,"bacon bits, divided"
110,8954,"green onions, chopped"
111,28277,shredded Cheddar cheese
112,16261,sour cream
113,20584,15 bean soup mix
114,35113,water
115,34367,bacon
116,4431,"canned green chile peppers, chopped"
117,34861,chili powder
118,20244,crushed red pepper flakes
119,27958,"onion, chopped"
120,4342,"garlic, minced"
121,18526,"bittersweet chocolate, chopped"
122,20611,heavy cream
123,16424,vanilla extract
124,2666,"cooked shrimp, finely chopped"
125,27605,mayonnaise
126,27958,"onion, minced"
127,28277,shredded Cheddar cheese
128,5592,hot pepper sauce
129,33277,butter
130,326550,all-purpose flour
131,16407,half-and-half
132,34813,vegetable broth
133,4279,sliced carrots
134,35127,chopped fresh parsley
135,16159,chopped fresh basil
136,20244,red pepper flakes
137,25340,salt to taste
138,122132,ground black pepper to taste
139,18727,yellow cake mix
140,3494,instant coconut cream pudding mix
141,5107,dried tarragon
142,25834,lemon-lime flavored carbonated beverage
143,6305,lemon juice
144,29716,eggs
145,27958,vegetable oil
146,28086,cooking spray
147,29716,olive oil
148,27958,"onion, chopped"
149,34751,"red bell pepper, chopped"
150,20551,vegetarian refried black beans
151,3717,"corn kernels, thawed"
